"carr","mate","cien","soci","text","imag","exam","gene","estr","orig","edad","niLE","niMa","stra","age"
"Biol",12.03,10.84,12.08,10.62,10.68,696.4424,"F","alto","Bogo","a17","noLE","siMa","E4",17
"Biol",11.75,11.16,11.71,10.35,11.6,703.2127,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",10.03,10.51,10.7,9.57,8.8,503.9774,"F","bajo","Bogo","a18","siLE","siMa","E2",18
"Biol",11.48,11.48,11.71,10.91,11.6,714.7407,"F","bajo","Bogo","a18","noLE","siMa","E2",18
"Biol",11.21,10.84,12.08,11.21,11.26,693.1449,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",11.75,10.84,11.36,10.91,10.96,675.0821,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",10.93,11.48,12.08,12.35,10.96,718.5616,"F","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",11.48,11.16,11.03,11.92,11.6,699.8995,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",12.31,14.6,10.38,10.35,10.15,758.5971,"F","medio","Bogo","a19M","noLE","noMa","E3",19
"Biol",12.31,11.48,13.43,11.92,10.68,796.8844,"M","medio","Bogo","a18","noLE","noMa","E3",18
"Biol",10.93,11.16,11.36,10.91,12.01,683.2054,"M","bajo","Bogo","a17","noLE","siMa","E2",17
"Biol",10.64,12.45,12.92,11.21,11.26,755.933,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",12.03,12.12,13.43,12.87,12.01,859.0339,"M","medio","Bogo","a16m","noLE","siMa","E3",16
"Biol",11.21,11.8,11.03,12.87,12.54,752.3843,"F","alto","Bogo","a17","noLE","siMa","E4",17
"Biol",11.21,11.8,12.92,11.92,13.37,818.4096,"M","medio","Bogo","a17","noLE","siMa","E3",17
"Biol",12.03,11.8,10.7,11.92,11.26,721.108,"M","medio","Bogo","a18","noLE","siMa","E3",18
"Biol",11.21,10.16,12.48,11.21,12.01,701.844,"M","medio","Bogo","a19M","noLE","siMa","E3",20
"Biol",11.48,12.45,11.03,10.91,10.96,708.7163,"F","medio","Bogo","a19M","noLE","siMa","E3",20
"Biol",10.93,16.52,12.48,11.21,11.6,897.2008,"M","alto","Otro","a17","noLE","siMa","E4",17
"Biol",11.21,10.51,12.48,11.54,12.54,732.7931,"M","medio","Bogo","a19M","noLE","siMa","E3",35
"Biol",10.93,10.51,12.08,12.35,12.01,711.6474,"M","bajo","Bogo","a19M","noLE","siMa","E2",20
"Biol",11.75,12.45,10.7,11.92,11.6,741.9344,"F","bajo","Bogo","a19M","noLE","siMa","E2",19
"Biol",12.31,13.17,11.36,12.87,12.01,835.3706,"M","alto","Otro","a17","noLE","noMa","E4",17
"Biol",12.31,12.8,10.7,12.35,12.01,791.0798,"M","bajo","Bogo","a19M","noLE","noMa","E2",19
"Biol",10.64,12.8,10.38,10.91,11.26,677.092,"F","medio","Otro","a17","noLE","siMa","E3",17
"Biol",11.21,11.48,10.38,11.21,12.01,676.3592,"M","bajo","Cund","a17","noLE","siMa","E2",17
"Biol",10.64,11.8,11.36,11.21,12.01,700.3209,"F","alto","Bogo","a16m","noLE","siMa","E4",16
"Biol",11.75,10.51,11.36,12.87,9.89,673.9515,"F","medio","Cund","a17","noLE","siMa","E3",17
"Biol",10.34,11.16,12.48,10.91,11.6,690.1458,"M","bajo","Bogo","a19M","noLE","siMa","E2",20
"Biol",12.61,11.8,11.03,11.54,10.68,730.8382,"M","bajo","Otro","a16m","noLE","noMa","E2",16
"Biol",12.03,12.12,11.03,9.83,10.68,689.7977,"F","alto","Cund","a16m","siLE","siMa","E4",16
"Biol",12.03,12.45,11.71,12.35,9.64,744.7451,"M","bajo","Bogo","a19M","noLE","siMa","E2",21
"Biol",12.03,10.16,10.38,12.35,13.37,714.7512,"F","bajo","Otro","a19M","noLE","siMa","E2",20
"Biol",12.03,12.8,12.08,12.87,11.6,826.9071,"M","medio","Cund","a16m","noLE","siMa","E3",16
"Biol",12.03,11.16,11.36,12.87,11.6,747.8149,"M","bajo","Cund","a17","noLE","siMa","E1",17
"Biol",10.64,10.16,10.38,10.91,9.37,541.4639,"F","bajo","Otro","a16m","siLE","siMa","E2",16
"Biol",11.48,11.16,12.08,11.92,11.6,735.0254,"M","bajo","Cund","a17","noLE","siMa","E2",17
"Biol",10.93,11.8,11.71,11.54,11.6,718.0487,"F","medio","Otro","a16m","noLE","siMa","E3",16
"Biol",11.48,11.8,12.48,10.91,10.68,728.2211,"M","alto","Cund","a17","noLE","siMa","E4",17
"Biol",11.21,12.12,9.02,10.62,8.8,562.62,"F","bajo","Otro","a18","siLE","siMa","E2",18
"Biol",10.34,9.37,10.7,9.57,10.41,516.144,"M","bajo","Otro","a18","siLE","siMa","E2",18
"Biol",11.75,11.48,11.71,11.21,10.68,707.044,"F","medio","Otro","a16m","noLE","siMa","E3",16
"Biol",12.03,11.16,10.7,10.91,12.54,712.4378,"M","bajo","Otro","a17","noLE","siMa","E2",17
"Biol",10.93,11.8,11.36,10.35,12.01,694.2938,"M","alto","Bogo","a17","noLE","siMa","E4",17
"Biol",11.21,11.16,11.36,12.35,11.26,701.0641,"F","medio","Bogo","a16m","noLE","siMa","E3",16
"Biol",11.21,11.16,12.08,11.92,10.41,696.076,"M","alto","Bogo","a19M","noLE","siMa","E4",19
"Biol",12.92,12.12,14.04,12.87,10.96,884.4873,"M","alto","Bogo","a16m","noLE","noMa","E4",16
"Biol",10.93,11.8,11.03,10.35,12.54,696.1048,"M","medio","Bogo","a19M","noLE","siMa","E3",19
"Biol",12.92,11.8,13.43,12.35,12.01,869.5178,"M","medio","Bogo","a17","noLE","noMa","E3",17
"Biol",11.48,11.16,11.03,11.54,12.01,703.0269,"M","bajo","Bogo","a18","noLE","siMa","E2",18
"Biol",10.64,13.17,10.38,11.92,9.89,674.6451,"M","alto","Bogo","a17","noLE","siMa","E4",17
